Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
14;1001294;Поступление зарплаты на счет;Покупка автомобиля;1;0.42;мужской;0;0;среднее-специальное;рабочий;>250;0;102;30;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;1001314;Поступление зарплаты на счет;Покупка автомобиля;1;0.49;мужской;0;0;среднее-специальное;вспомогательный персонал;>250;0;66;46;Информационные технологии;ООО;разведен / разведена;1;1;1;1;1;0.1893939394;1;0;0;0;1;3;0;107;3;2;0;33;73;1;1;0;0;1;0;0
14;1001334;Поступление зарплаты на счет;Ремонт;1;0.5;мужской;2;0;среднее-специальное;специалист;>=150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;1001354;2НДФЛ;Ремонт;1;0.58;женский;0;0;среднее-специальное;вспомогательный персонал;>250;0;28;44;Государственная служба;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;1001374;Форма банка (без печати работодателя);Ремонт;0;0.41;женский;0;0;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;>=100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;1001394;Поступление зарплаты на счет;Ремонт;0;0.49;мужской;0;0;высшее;специалист;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;1001414;2НДФЛ;Другое;0;0.56;мужской;1;0;высшее;менеджер среднего звена;>250;0;128;36;Информационные технологии;ЗАО;женат / замужем;7;7;6;2;0;0;1;2;2;2;0.3333333333;4;8;170;12;3;1;0;90;0;0;0;0;0;0;0
14;1001434;2НДФЛ;Покупка недвижимости/ строительство;1;0.45;мужской;0;0;высшее;менеджер среднего звена;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;1001454;Поступление зарплаты на счет;Ремонт;1;0.32;женский;0;0;высшее;менеджер по продажам;>250;0;26;31;Торговля;ЗАО;повторный брак;1;1;0;0;0;0.1727272727;1;1;1;0;0.5;4;4;91;8;2;0;2;89;1;1;1;1;0;0;0
14;1001474;Поступление зарплаты на счет;Ремонт;0;0.41;женский;2;0;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;>250;0;128;48;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;1001494;Поступление зарплаты на счет;Покупка автомобиля;0;0.28;женский;0;0;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;>250;0;68;27;Другое;ООО;холост / не замужем;0;0;0;0;0;0.1260504202;0;0;0;0;0.3333333333;2;4;104;6;0;0;6;82;1;1;1;1;0;0;0
14;1001514;2НДФЛ;Покупка мебели;1;0.49;мужской;1;0;высшее;специалист;>=150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;1001534;Поступление зарплаты на счет;Ремонт;1;0.28;мужской;0;0;высшее;специалист;>250;0;24;30;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
