Номер варианта,ID,INCOME_BASE_TYPE,CREDIT_PURPOSE,INSURANCE_FLAG,DTI,SEX,FULL_AGE_CHILD_NUMBER,DEPENDANT_NUMBER,EDUCATION,EMPL_TYPE,EMPL_SIZE,BANKACCOUNT_FLAG,Period_at_work,age,EMPL_PROPERTY,EMPL_FORM,FAMILY_STATUS,max90days,max60days,max30days,max21days,max14days,avg_num_delay,if_zalog,num_AccountActive180,num_AccountActive90,num_AccountActive60,Active_to_All_prc,numAccountActiveAll,numAccountClosed,sum_of_paym_months,all_credits,Active_not_cc,own_closed,min_MnthAfterLoan,max_MnthAfterLoan,dlq_exist,thirty_in_a_year,sixty_in_a_year,ninety_in_a_year,thirty_vintage,sixty_vintage,ninety_vintage,cluster
14,1001354,0,9,1.0,0.58,0,0,0,7,1,3,0.0,28.0,44.0,1,0,0,1.0,1.0,0.0,0.0,0.0,0.0147058824,0.0,0.0,0.0,0.0,0.4,2.0,3.0,62.0,5.0,1.0,0.0,9.0,65.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,1001374,4,9,0.0,0.41,0,0,0,1,5,4,0.0,43.0,34.0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0147058824,0.0,0.0,0.0,0.0,0.4,2.0,3.0,62.0,5.0,1.0,0.0,9.0,65.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,1001394,2,9,0.0,0.49,1,0,0,4,7,7,0.0,43.0,34.0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0147058824,0.0,0.0,0.0,0.0,0.4,2.0,3.0,62.0,5.0,1.0,0.0,9.0,65.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,1001414,0,0,0.0,0.56,1,1,0,4,5,3,0.0,128.0,36.0,3,2,3,7.0,7.0,6.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,0.3333333333,4.0,8.0,170.0,12.0,3.0,1.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
14,1001434,0,8,1.0,0.45,1,0,0,4,5,7,0.0,43.0,34.0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0147058824,0.0,0.0,0.0,0.0,0.4,2.0,3.0,62.0,5.0,1.0,0.0,9.0,65.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,1001454,2,9,1.0,0.32,0,0,0,4,4,3,0.0,26.0,31.0,8,2,4,1.0,1.0,0.0,0.0,0.0,0.1727272727,1.0,1.0,1.0,0.0,0.5,4.0,4.0,91.0,8.0,2.0,0.0,2.0,89.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2
14,1001474,2,9,0.0,0.41,0,2,0,1,5,3,0.0,128.0,48.0,11,0,0,1.0,1.0,0.0,0.0,0.0,0.0147058824,0.0,0.0,0.0,0.0,0.4,2.0,3.0,62.0,5.0,1.0,0.0,9.0,65.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,1001494,2,4,0.0,0.28,0,0,0,1,5,3,0.0,68.0,27.0,2,6,6,0.0,0.0,0.0,0.0,0.0,0.1260504202,0.0,0.0,0.0,0.0,0.3333333333,2.0,4.0,104.0,6.0,0.0,0.0,6.0,82.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2
14,1001514,0,7,1.0,0.49,1,1,0,4,7,5,0.0,43.0,34.0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0147058824,0.0,0.0,0.0,0.0,0.4,2.0,3.0,62.0,5.0,1.0,0.0,9.0,65.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,1001534,2,9,1.0,0.28,1,0,0,4,7,3,0.0,24.0,30.0,5,0,0,1.0,1.0,0.0,0.0,0.0,0.0147058824,0.0,0.0,0.0,0.0,0.4,2.0,3.0,62.0,5.0,1.0,0.0,9.0,65.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
